wavelength,flux
8124.563785373824,5.561347007751465e-17
8126.432830595761,5.571526527404786e-17
8128.306768058127,5.742830276489258e-17
8130.17667434831,5.776780605316163e-17
8132.051475132777,5.95261573791504e-17
8133.922242887902,6.05733346939087e-17
8135.793441010691,6.017970085144043e-17
8137.669537009145,6.327837944030762e-17
8139.541597192021,7.375998973846436e-17
8141.418557507012,7.990596294403077e-17
8143.291480147128,6.889482975006104e-17
8145.169305176846,5.83989429473877e-17
8147.043090671534,7.402941226959229e-17
8148.917307228112,9.055199623107911e-17
8150.79642956113,7.585893630981446e-17
8152.671509568388,5.840985774993896e-17
8154.551497612173,5.511745929718018e-17
8156.427441467901,5.4604167938232427e-17
8158.3082956212875,5.412258625030518e-17
8160.18510372346,5.692362308502198e-17
8162.062343582871,5.77190113067627e-17
8163.944497132239,5.704309463500977e-17
8165.822601835163,5.724170684814453e-17
8167.70562249178,5.979707717895508e-17
8169.5845924366495,6.015017986297607e-17
8171.4684805999905,6.072458267211915e-17
8173.348316185423,6.709465503692628e-17
8175.228584224562,7.294631481170655e-17
8177.1137738799425,7.687663555145264e-17
8178.994908157676,8.134322166442871e-17
8180.880966319038,9.642548561096192e-17
8182.76296723444,1.2606980323791504e-16
8184.649894301903,1.4804864883422853e-16
8186.532762254235,1.5501999855041504e-16
8188.416063357866,1.4754919052124024e-16
8190.304294016809,1.331848430633545e-16
8192.188462756365,1.353926944732666e-16
8194.077563322277,1.316508197784424e-16
8195.962600097479,1.5462255477905275e-16
8197.852570971127,1.5596114158630372e-16
8199.738476181876,1.407204055786133e-16
8201.624815242641,1.2028579711914064e-16
8203.516091810596,1.1607784271240235e-16
8205.403299906871,1.0909443855285645e-16
8207.295447785045,1.0240169525146485e-16
8209.183525317196,9.21410083770752e-17
8211.076544906999,8.892335891723634e-17
8212.965492275574,7.574840068817139e-17
8214.85487419401,7.439994812011719e-17
8216.749201584338,7.461767673492433e-17
8218.639453940128,7.021821022033692e-17
8220.534654046187,6.620358943939209e-17
8222.42577724034,6.217355251312256e-17
8224.321850464188,6.275808334350586e-17
8226.213844897902,6.366421222686769e-17
8228.106274582447,5.91035795211792e-17
8230.003657716437,5.30083703994751e-17
8231.896959242442,5.29106616973877e-17
8233.795216499942,5.4343843460083014e-17
8235.689390269063,5.2463698387146e-17
8237.58852205278,5.432827949523926e-17
8239.483568466858,5.385000705718995e-17
8241.379050833872,5.698866367340089e-17
8243.27949464075,6.216881275177002e-17
8245.175850255593,6.190314769744873e-17
8247.077169596034,6.026609897613525e-17
8248.974398861008,6.495274543762208e-17
8250.876594138366,6.502741813659669e-17
8252.774697455965,5.781834602355957e-17
8254.673237429737,5.492003440856934e-17
8256.576746846682,5.762804985046388e-17
8258.47616147692,5.521218299865723e-17
8260.380547839752,5.2992410659790044e-17
8262.28083752941,5.235376358032227e-17
8264.186101242136,5.344302654266358e-17
8266.087266394352,5.330825328826905e-17
8267.988868907114,5.3723449707031255e-17
8269.895448879268,5.249909400939942e-17
8271.797927459405,5.309451580047608e-17
8273.705385792051,5.358275890350342e-17
8275.608740843169,5.40221118927002e-17
8277.517077940962,7.553631782531739e-17
8279.42130986685,1.579855251312256e-16
8281.33052613464,2.540108108520508e-16
8283.235635339272,3.3477203369140626e-16
8285.141182811773,2.7665699005126954e-16
8287.051718069632,1.7663475036621096e-16
8288.958143426951,3.230057525634766e-16
8290.869558867496,4.480904388427735e-16
8292.776862514072,2.63298397064209e-16
8294.689158542806,9.069029808044434e-17
8296.597340883269,1.428031635284424e-16
8298.505962198573,3.1980381011962893e-16
8300.419579345038,5.113808059692383e-16
8302.329079961277,3.9250484466552735e-16
8304.243578710255,1.4408916473388674e-16
8306.153959032523,7.876970767974854e-17
8308.069339790167,6.262595653533937e-17
8309.980600223742,8.270623207092286e-17
8311.892300340269,1.7267730712890627e-16
8313.809004346745,1.8121469497680666e-16
8315.72158518261,8.884496688842774e-17
8317.639172213712,5.630552768707276e-17
8319.55263417466,6.54318380355835e-17
8321.471104637201,6.643379211425781e-17
8323.385448129167,5.5279064178466803e-17
8325.300232013338,5.0484743118286133e-17
8327.220027859246,4.8822550773620606e-17
8329.135693883445,4.695757865905762e-17
8331.056374178388,4.6565227508544923e-17
8332.972922749015,4.84300708770752e-17
8334.894487900461,4.936758041381836e-17
8336.811919424106,5.133642673492432e-17
8338.729792050355,6.28162431716919e-17
8340.652684723145,7.08047342300415e-17
8342.571440912403,1.0538645744323731e-16
8344.495219460936,5.086455154418945e-16
8346.414859620261,1.0753224182128907e-15
8348.33952445266,7.496432495117188e-16
8350.260048989296,1.6468427658081056e-16
8352.181015340077,1.5279109954833985e-16
8354.10700983525,3.605987930297852e-16
8356.028861174318,3.6410060882568364e-16
8357.955742974242,1.327104377746582e-16
8359.87847970931,5.795104026794434e-17
8361.806249222765,7.085109233856201e-17
8363.729871761738,9.692495346069336e-17
8365.653936827548,1.6195585250854492e-16
8367.583038148658,1.7596435546875e-16
8369.50798963033,1.0113730430603028e-16
8371.437979687506,5.653918743133545e-17
8373.363817993413,4.962418556213379e-17
8375.294697196092,5.040801525115967e-17
8377.221422734794,5.2197833061218265e-17
8379.148591514175,5.720059394836427e-17
8381.08080467285,8.901138305664063e-17
8383.008861297974,2.2849924087524414e-16
8384.941964626338,2.9306861877441406e-16
8386.870909506235,1.5238288879394532e-16
8388.804903414384,5.764069080352784e-17
8390.734736958273,5.762584209442139e-17
8392.665014457833,6.225965023040772e-17
8394.600344473785,6.102095127105713e-17
8396.531511251274,5.758672237396241e-17
8398.467732872849,1.9396129608154298e-16
8400.399789337956,7.207280731201173e-16
8402.336902975914,7.507473754882813e-16
8404.26984953852,2.2619461059570313e-16
8406.20324077294,5.915261268615723e-17
8408.141692673982,5.063980579376221e-17
8410.075974620828,5.0501728057861334e-17
8412.01531956574,5.007816791534424e-17
8413.950492635364,7.196531295776368e-17
8415.890731035573,2.3816638946533206e-16
8417.826795638512,3.427148818969727e-16
8419.763305630568,1.7131425857543947e-16
8421.704884452614,6.091243267059327e-17
8423.642286593906,5.655030727386475e-17
8425.584759900397,6.682670593261719e-17
8427.523054601936,7.761124610900879e-17
8429.466422804959,2.4230295181274416e-16
8431.405610477948,8.773377227783204e-16
8433.34987398978,8.071890258789063e-16
8435.289955045611,2.5225128173828126e-16
8437.23048241454,7.493834972381592e-17
8439.176089128974,5.387091636657715e-17
8441.117510497941,4.876084327697754e-17
8443.064013552468,4.724039554595948e-17
8445.00632933334,4.803989887237549e-17
8446.953729140901,4.989965438842774e-17
8448.896939745731,5.051045894622803e-17
8450.840597383609,6.762783527374268e-17
8452.789342560496,2.0952911376953127e-16
8454.733895640526,3.088855743408203e-16
8456.683538603393,1.6807065963745118e-16
8458.628987538104,6.080251693725587e-17
8460.57952870056,5.2988982200622563e-17
8462.525873902672,5.77055835723877e-17
8464.472666858941,1.378513526916504e-16
8466.424555560943,5.215591812133789e-16
8468.372245403803,5.826691818237306e-16
8470.325033340003,2.0741453170776368e-16
8472.273620482652,5.62190580368042e-17
8474.22730806733,5.3936443328857423e-17
8476.17679292315,6.291402339935303e-17
8478.126726255401,6.187857151031495e-17
8480.08176355334,5.034018993377686e-17
8482.032595218952,4.772624015808106e-17
8483.98853320165,4.532514572143555e-17
