id,x_0,y_0,sharpness,roundness1,roundness2,npix,sky,peak,flux_0,mag,group_id,x_fit,y_fit,flux_fit,flux_unc,x_0_unc,y_0_unc,iter_detected
165,31.384550974842547,120.86107328300926,0.3799597795054229,0.07030454277992249,0.18214243585300688,25,0.0,0.8083369135856628,6.97589635848999,-2.109000049052154,110,31.45670668121884,120.54387262367213,21.811521750233453,0.3075917179795302,0.23349369720192598,0.3873883600454943,1
172,29.934080006241555,123.03255045338074,0.3845796634614491,0.234903946518898,0.6104549497642469,25,0.0,0.5025280117988586,3.3651692867279053,-1.3175172913424245,110,29.522438036728115,124.7368050536239,12.956756274995483,0.5329077833018562,0.15637025101884822,0.1730900854144817,1
166,442.0093905443055,119.7172876915039,0.3997127353270504,-0.08450091630220413,-0.25113798341862215,25,0.0,0.13653415441513062,1.436008095741272,-0.3928922208065299,111,441.86184431670705,119.79128769199552,3.4450369236629528,0.12673467956791806,0.06274287798178461,0.08904714038483548,1
167,63.91251466200268,122.19213486514909,0.38045754420553757,-0.0722823441028595,-0.07016852610480145,25,0.0,0.4744444191455841,4.733851909637451,-1.6880366691362,112,63.59876774683009,122.78697340959911,11.570660793959313,0.10628200843666914,0.1112891134058031,0.10820513278313801,1
168,244.91583870994572,121.58037428611617,0.4066792389472846,0.011022034101188183,0.053429493882162955,25,0.0,0.12994827330112457,1.3385637998580933,-0.3165976893975641,113,244.73375434220722,121.98825743126453,3.3387589065234313,0.17722392758097824,0.04806894978057908,0.05353521878043627,1
169,221.88799392596457,123.27766138643145,0.40735531688686455,-0.17118358612060547,0.011880233412508674,25,0.0,0.7438786029815674,7.118290424346924,-2.1309392578202475,114,221.73600655966086,123.38810352558366,18.97546903454458,0.18235377015824988,0.004718493098002581,0.005002590140299731,1
170,277.21044549199115,123.40154831313204,0.42087395255938803,0.020962148904800415,-0.31620886617234495,25,0.0,0.12947164475917816,1.4774669408798218,-0.42379443022147945,115,277.1337893411478,123.54394514189042,3.0859019135532373,0.14611264931289586,0.10506132720688646,0.08710449873079708,1
171,80.12863872431952,123.6870791141561,0.37584236383138286,0.2769385874271393,0.142761514640692,25,0.0,0.2052972912788391,1.9380146265029907,-0.7183926260406948,116,79.59864368260767,123.76194693321379,6.918042176626822,0.18793490300160762,0.11647050075731262,0.09313494431914003,1
173,117.5079075686709,124.95232233652199,0.40990652733920774,-0.14085254073143005,-0.19689062769824656,25,0.0,0.5899745225906372,6.028296947479248,-1.9504865926314188,117,117.4561215349815,125.0863413266771,15.220154441011474,0.11559031398019282,0.01956162142668294,0.021264944584226616,1
174,195.1224247179742,127.19727994969934,0.435964983387168,-0.07874688506126404,-0.0143040265094532,25,0.0,0.13557212054729462,1.4394904375076294,-0.3955219605457354,118,195.0566408118814,127.46650573352606,3.346762308113099,0.1167693242731534,0.09349536075321344,0.10752427799315753,1
175,13.287940652873512,128.41438386605427,0.377350465699571,0.19287270307540894,0.17469686575334734,25,0.0,0.22068659961223602,1.9180524349212646,-0.7071511888979949,119,13.40740093017941,128.55266271529058,7.659105858123575,0.10941855602292833,0.11732744274232158,0.0793756718988233,1
176,47.68251053302355,128.13850166758405,0.3703387021735863,-0.08616559207439423,-0.006851670671971742,25,0.0,0.4587778151035309,4.604793071746826,-1.6580252970717493,120,47.51999659912683,128.30938809617632,13.412166489499057,0.11023743156860386,0.06106484673123211,0.05809872213398932,1
177,1.7427663984046862,128.7194811254796,0.35776627589920323,-0.0951521247625351,0.3683012346455964,25,0.0,0.39677271246910095,4.517331600189209,-1.6372049291080182,121,1.5903397816792633,128.7468789068905,12.518532598563404,0.11213843763776253,0.014958000326408042,0.020832519266151726,1
